Tijdstempel,Zorgt deze situatie voor spanning bij mij?,Maakt deze situatie u angstig?,Hoe bedreigend is deze situatie?,In hoeverre ervaart u deze situatie als stressvol?,Heeft u het vermogen om goed te presteren in deze situatie?,Beschikt u over de vaardigheden die nodig zijn om een succesvol resultaat in deze situatie te bereiken?,In welke mate heeft u tijdsdruk ervaren?,In hoeverre heeft tijdsdruk uw score beïnvloed?,Bent u stress bestendig?
8-12-2023 12:38:29,4,2,1,4,4,4,3,3,4
8-12-2023 12:39:23,4,3,3,4,3,3,4,4,2
8-12-2023 12:57:12,4,2,3,5,3,4,5,4,3
8-12-2023 13:21:44,4,4,4,4,4,3,5,4,3
8-12-2023 14:53:13,3,1,1,2,3,3,2,2,4
8-12-2023 15:12:48,4,1,1,3,3,3,4,2,2
8-12-2023 15:27:16,4,3,3,4,4,5,5,4,2
8-12-2023 18:56:46,4,2,1,3,3,3,4,4,3
8-12-2023 21:26:27,4,1,2,4,2,3,5,4,2
8-12-2023 21:39:22,1,2,2,2,5,5,2,1,4
10-12-2023 10:00:07,4,2,3,3,3,3,3,4,3
10-12-2023 12:14:53,5,2,1,5,4,3,5,1,3
11-12-2023 12:20:21,3,3,3,2,3,3,4,3,2
21-12-2023 17:21:51,2,1,2,2,5,5,1,1,5
21-12-2023 17:22:27,3,2,1,3,4,4,2,2,4
21-12-2023 17:22:48,4,3,2,4,3,3,3,3,2
21-12-2023 17:23:46,4,4,3,3,4,4,4,5,3
21-12-2023 17:24:06,2,3,1,3,3,2,3,4,4
21-12-2023 17:24:57,4,4,1,2,4,4,3,4,3
21-12-2023 17:26:30,3,2,2,5,3,3,5,5,1
21-12-2023 17:28:09,3,1,1,3,3,3,4,4,1
21-12-2023 17:29:24,2,4,2,5,3,4,4,4,3
21-12-2023 17:31:29,5,3,3,3,4,5,3,3,3
21-12-2023 17:32:50,3,2,1,5,2,4,5,5,3
21-12-2023 17:33:55,3,3,2,5,2,2,5,5,1
21-12-2023 17:34:19,3,3,2,4,5,2,3,3,4
21-12-2023 17:34:53,3,3,2,3,2,4,3,3,4
21-12-2023 17:35:46,4,2,2,5,4,3,5,4,3
21-12-2023 17:36:38,5,2,3,4,3,2,3,3,2
21-12-2023 17:37:16,5,2,3,2,5,4,3,4,5
21-12-2023 17:38:44,5,2,2,4,5,3,5,2,2
21-12-2023 17:40:34,5,1,3,4,5,4,4,2,1
21-12-2023 17:42:21,4,1,1,3,3,3,4,4,2
