Tijdstempel,Zorgt deze situatie voor spanning bij mij?,Maakt deze situatie u angstig?,Hoe bedreigend is deze situatie?,In hoeverre ervaart u deze situatie als stressvol?,Heeft u het vermogen om goed te presteren in deze situatie?,Beschik ik over de vaardigheden die nodig zijn om een succesvol resultaat in deze situatie te bereiken?,In welke mate heb je tijdsdruk ervaren?,In hoeverre heeft tijdsdruk je score beïnvloed?,Heeft u motion sickness ervaren?,"Belast deze situatie mijn middelen om ermee om te gaan, of overschrijdt deze deze situatie?"
7-12-2023 14:52:46,4,2,4,3,4,4,5,4,Nee,3
11-12-2023 12:25:36,4,2,4,4,2,3,5,4,Nee,3
11-12-2023 13:23:31,4,3,1,2,4,4,4,4,Nee,4
11-12-2023 13:31:56,2,2,2,2,4,4,1,2,Nee,2
11-12-2023 14:12:34,3,2,2,2,2,2,3,4,Nee,2
11-12-2023 16:04:01,3,2,1,1,3,4,2,3,Nee,4
15-12-2023 9:32:19,3,4,4,2,2,3,4,3,Nee,3
15-12-2023 9:40:01,3,2,3,4,3,3,2,3,Nee,4
15-12-2023 10:12:03,2,1,2,1,4,4,1,1,Nee,1
15-12-2023 10:38:12,3,2,3,2,3,4,4,3,Nee,3
15-12-2023 10:45:02,2,2,2,3,3,2,2,2,Nee,5
15-12-2023 10:51:03,1,1,1,2,5,5,1,1,Nee,4
15-12-2023 10:59:35,4,3,3,4,4,3,4,3,Nee,2
15-12-2023 11:10:42,4,4,3,3,4,4,4,4,Nee,4
15-12-2023 11:15:02,5,3,4,4,2,3,3,3,Nee,2
15-12-2023 11:21:35,3,3,2,3,5,3,3,2,Nee,1
15-12-2023 11:29:03,3,3,3,3,3,4,3,3,Nee,1
15-12-2023 11:40:29,3,4,1,3,4,4,3,2,Nee,4
15-12-2023 11:58:50,4,3,1,4,4,4,3,4,Ja,3
15-12-2023 12:32:03,5,4,2,4,4,4,4,4,Nee,3
15-12-2023 12:52:52,5,4,1,4,2,2,4,5,Nee,2
15-12-2023 13:11:22,2,3,2,4,1,2,3,2,Nee,1
15-12-2023 13:19:54,2,2,2,1,3,4,3,3,Nee,3
15-12-2023 13:27:48,3,1,1,5,3,5,2,5,Nee,1
15-12-2023 13:39:17,3,1,3,3,5,3,5,5,Nee,2
15-12-2023 14:01:36,3,1,1,4,4,3,4,4,Nee,1
15-12-2023 14:08:13,4,2,2,1,5,2,3,3,Nee,2
21-12-2023 12:52:46,2,1,1,2,3,4,2,2,Nee,2
21-12-2023 17:13:37,4,3,2,4,4,3,5,4,Nee,3
21-12-2023 17:15:16,5,3,2,3,5,2,5,4,Nee,2
21-12-2023 17:17:30,4,2,2,3,5,4,3,5,Nee,1
21-12-2023 17:19:15,4,1,1,5,3,5,4,4,Nee,3
21-12-2023 17:21:05,3,2,2,5,5,3,5,5,Nee,1
